,id,uuid,record,associaties_Categorie2,Opgeschoond,associaties_positief_Categorie2,associaties_relevant_Categorie2
,297,38w6pdymgm85stpp,1100,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,298,z651d3sc0v3avm94,1103,,,#NULL!,#NULL!
,299,s7tj18s36n8gjw8f,1104,,,#NULL!,#NULL!
,299,s7tj18s36n8gjw8f,1104,,,#NULL!,#NULL!
